residual_name,freq,type,reason,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis)
geographic location (region and locality),5804997,freetext/high-card,值=国家/地区(England等)，官方 geographic location,England(519071) ; Scotland(65372) ; Wales(47636) ; Europe/Germany/North Rhine-Westphalia(31029) ; Europe/Germany(19233) ; Europe/Germany/Saxony(12791) ; Europe/Germany/Bavaria(11275) ; Europe/Germany/Baden-Wurttemberg(9113) ; Northern_Ireland(8367) ; Europe / Ireland / Dublin(7809) ; Europe/Germany/Rhineland-Palatinate(6211) ; ZH(5816) ; BL(5511) ; BS(5470) ; Europe/Germany/Baden-Württemberg(5178),geographic location,,,合并→ geographic location,时空/环境,是
collecting institution,5693164,freetext/high-card,采集机构名，机构名簇；弱可挂 collected by,"Lighthouse Lab in Alderley Park(128561) ; Lighthouse Lab in Glasgow(122405) ; Lighthouse Lab in Milton Keynes(89190) ; Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit(38537) ; Lighthouse Lab in Cambridge(34310) ; Respiratory Virus Unit, Microbiology Services Colindale, Public Health England(28057) ; National Virus Reference Laboratory(19824) ; Wellcome Sanger Institute(18157) ; Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust(15866) ; Liverpool Clinical Laboratories(15624) ; Lighthouse Laboratory Plymouth(13047) ; Quadram Institute Bioscience(12982) ; Computational evolution group,Mattenstrasse 26, Basel(12196) ; Department of Pathology, University of Cambridge(11115) ; SYNLAB MVZ Leverkusen, Paracelsusstra??e 13; 51375 Leverkusen(11098)",train stop collection location,,,独立键(仅自身),提交/数据库管理,否
broker name,5546151,freetext/high-card,broker/联盟机构名，机构名簇,"SC(419108) ; ArrayExpress(260555) ; COVID-19 Genomics UK Consortium(225538) ; RKI provides the integration of molecular data and epidemiological data for the molecular surveillance of SARS-CoV-2(121176) ; EBI-EMG(91320) ; Stephane Pesant(56998) ; Swiss Institute of Bioinformatics, Quartier Sorge, Batiment Amphipole, CH-1015, Lausanne(41912) ; COPO(19640) ; Interinstitutional project for the sequencing of circulating SARS-CoV-2 strains in the population of the Republic of Ireland during the 2020 pandemic of COVID19(19498) ; Maiden Group, Department of Zoology, University of Oxford, United Kingdom(10551) ; EnteroBase(9764) ; GFBIO(7288) ; DTU-GE(7127) ; NDM Oxford(7118) ; China National GeneBank (CNGB) Jinsha Road, Dapeng District, Shenzhen(5764)",reservoir name,,,独立键(仅自身),提交/数据库管理,否
ENA-LAST-UPDATE,5229723,freetext/high-card,平台更新时间戳，记录日期簇,2015-08-14(15255) ; 2013-04-04(4575) ; 2014-02-28(3738) ; 2013-11-04(3094) ; 2013-07-02(2306) ; 2012-11-15(1969) ; 2014-02-19(1686) ; 2013-04-16(1058) ; 2014-01-28(1005) ; 2013-04-11(745) ; 2016-08-08(721) ; 2017-06-22(660) ; 2013-12-09(656) ; 2013-08-06(618) ; 2018-03-08(610),date last rain,,,合并→ INSDC last update,提交/数据库管理,否
ENA-FIRST-PUBLIC,5192072,freetext/high-card,平台首次公开时间戳，记录日期簇,2014-11-13(15253) ; 2020-04-22(6711) ; 2019-10-06T04:03:47Z(5086) ; 2019-10-06T04:03:30Z(4989) ; 2019-10-06T04:03:32Z(4977) ; 2019-04-02T17:04:11Z(4802) ; 2019-10-06T04:03:37Z(4671) ; 2013-04-30(4618) ; 2019-10-06T04:03:48Z(4588) ; 2018-05-24(4561) ; 2019-10-06T04:03:42Z(4503) ; 2019-10-06T04:03:46Z(4337) ; 2019-10-06T04:03:29Z(4234) ; 2019-10-25T04:04:49Z(4181) ; 2020-02-20T17:05:46Z(4151),host pulse,not_collected(291) ; host_pulse(265) ; 60(118) ; 70(94) ; 78(71) ; 68(70) ; 62(68) ; 72(59) ; #N/B(59) ; 80(55) ; 0 bpm(54) ; 64(52) ; not_applicable(51) ; not measured(50) ; 74(38),,合并→ INSDC first public,提交/数据库管理,否
ENA last update,4734714,freetext/high-card,平台更新时间戳，记录日期簇,2021-06-09(109767) ; 2016-10-21(68402) ; 2021-07-15(23716) ; 2021-01-11(22607) ; 2021-03-18(22433) ; 2021-06-16(20055) ; 2021-07-02(18803) ; 2021-01-25(17744) ; 2021-04-07(17321) ; 2021-02-01(16422) ; 2021-05-04(15688) ; 2021-06-02(15407) ; 2021-03-03(14246) ; 2021-07-01(13700) ; 2021-07-19(13115),date last rain,,,合并→ INSDC last update,提交/数据库管理,否
collector name,4461306,freetext/high-card,值=人名，官方 collected by,"Chaoran Chen et al(15517) ; PANGEA_HIV Project(8002) ; Christian Beisel et al(6714) ; Dutch COVID-19 response team(5757) ; deCODE genetics(3149) ; Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Kim Philipp Jablonski, Lara Fuhrmann, Daniel Ehrsam, Isabel Stürmer, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Niko Beerenwinkel, Tanja Stadler(2895) ; Samuel Cordey et al(2610) ; Tim Roloff et al(2394) ; The National University Hospital of Iceland(2219) ; Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Manuel Battegay, Hans Hirsch, Adrian Egli(1725) ; Darío García de Viedma, Laura Pérez-Lago, Pedro J Sola-Campoy, Sergio Buenestado-Serrano, Marta Herranz, Victor Manuel de la Cueva, Julia Suárez, Pilar Catalán, Patricia Mu?oz and SeqCOVID-Spain consortium(1618) ; Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli(1479) ; María de Toro, José Manuel Azcona Gutiérrez, María Pilar Bea Escudero, Miriam Blasco Alberdi and SeqCOVID-Spain consortium(1292) ; Sheffield COVID-19 Genomics Group(1279) ; Gustavo Cilla Eguiluz, Milagrosa Montes Ros, Luis Pi?eiro Vázquez, Ane Sorrarain, Jose Maria Marimón and SeqCOVID-Spain consortium(1169)",collected by,CDC(226204) ; PHE(95799) ; USDA-FSIS(66980) ; FDA(18190) ; FDA Contracted Laboratory(12444) ; PHAC(10929) ; United States Food and Drug Administration(10474) ; ModMedMicOxford(9802) ; Texas Department of State Health Services(7497) ; University of Pittsburgh Medical Center(5284) ; DTU(4963) ; United States Food and Drug Administration| Office of Regulatory Affairs| New York Human and Animal Food Laboratory(4848) ; USAID Feed the Future Innovation Lab for Climate Resilient Chickpea(4630) ; Pennsylvania State University | Escherichia coli Reference Center(4407) ; university laval(4033),,独立键(仅自身),提交/数据库管理,否
geographic location (longitude),4454015,freetext/high-card,经度分量，官方 latitude and longitude,-95.7129(32670) ; -3.206493(25753) ; 7.6921(20869) ; 116.3636(19917) ; 9.5018(13493) ; -3.7492(9351) ; -64.17(6453) ; -3.197356(5571) ; -0.12(4957) ; 5.2913(4622) ; -90.263794(4375) ; 1(4192) ; 10.4515(3787) ; -3.6066(3553) ; -79.051266(2636),geographic location,,,合并→ longitude,时空/环境,是
geographic location (latitude),4453534,freetext/high-card,纬度分量，官方 latitude and longitude,37.0902(32678) ; 55.861398(25753) ; 53.1424(21038) ; 39.9138(19917) ; 56.2639(13461) ; 40.4637(9488) ; 31.07(6449) ; 55.86513(5569) ; 51.5(5210) ; 52.1326(4622) ; 38.63699(4375) ; 1(3837) ; 51.1657(3787) ; 57.0607(3553) ; 35.908070(2636),geographic location,,,合并→ latitude,时空/环境,是
common name,3906571,freetext/high-card,物种俗名，归顶层 organism 字段,human(351111) ; house mouse(235022) ; domesticated barley(85611) ; malaria parasite P. falciparum(61190) ; Streptococcus pneumoniae(46626) ; baker's yeast(46246) ; Human(41255) ; SARS-CoV-2(34074) ; zebrafish(31915) ; thale cress(31837) ; African malaria mosquito(31744) ; Escherichia coli(28545) ; Human coronavirus 2019(24777) ; fruit fly(19379) ; gut metagenome(19334),host common name,Human(202132) ; human(131424) ; mouse(17102) ; Savannah baboon(14371) ; maize(4739) ; Homo sapiens(3924) ; sponges(3142) ; mosquito(2262) ; pig(1917) ; Mus musculus(1609) ; house mouse(1429) ; pacific chub mackerel(1340) ; sheep(1326) ; tree swallow(1298) ; Pacific oyster(1224),,独立键(仅自身),样本来源/材料,是
sample derived from,2914227,freetext/high-card,值=来源样本号(SRS/ERS/SAMN)，官方 derived from,SRS1996016(14395) ; SAMN06233224(6587) ; ERS3555720(6236) ; ERS5055282(2615) ; SRS883293(2058) ; ERS3559075(1410) ; ERS3559074(1164) ; ERS3559072(1024) ; ERS3559076(876) ; ERS3559077(765) ; ERS3559073(757) ; ERS4921402(668) ; ERS4649301(428) ; ERS4649307(303) ; ERS3750160(303),derived from,"Human(1837) ; This BioSample is a metagenomic assembly obtained from the activated sludge metagenome BioSamples: SAMN08389165, SAMN08389166, SAMN08389167, SAMN08389168, SAMN08389169, SAMN08389170, SAMN08389171, SAMN08389172, SAMN08389173, SAMN08389174, SAMN08389175, SAMN08389176, SAMN08389177, SAMN08389178, SAMN08389179, SAMN08389180, SAMN08389181, SAMN08389182, SAMN08389183, SAMN08389184, SAMN08389185, SAMN08389186, SAMN08389187, SAMN08389188, SAMN08389189, SAMN08389190, SAMN08389191, SAMN08389192, SAMN08389193, SAMN08389194, SAMN08389195, SAMN08389196, SAMN08389197, SAMN08389198, SAMN08389199, SAMN08389200, SAMN08389201, SAMN08389202, SAMN08389203, SAMN08389204, SAMN08389205, SAMN08389206, SAMN08389207, SAMN08389208, SAMN08389209, SAMN08389210, SAMN08389211, SAMN08389212, SAMN08389213, SAMN08389214, SAMN08389215, SAMN08389216, SAMN08389217, SAMN08389218, SAMN08389219, SAMN08389220, SAMN08389221, SAMN08389222, SAMN08389223, SAMN08389224, SAMN08389225, SAMN08389226, SAMN08389227, SAMN08389228, SAM N08389229, SAMN08389230, SAMN08389231, SAMN08389232, SAMN08389233, SAMN08389234, SAMN08389235, SAMN08389236, SAMN08389237, SAMN08389238, SAMN08389239, SAMN08389240, SAMN08389241, SAMN08389242, SAMN08389243, SAMN08389244, SAMN08389245, SAMN08389246, SAMN08389247, SAMN08389248, SAMN08389249, SAMN08389250, SAMN08389251, SAMN08389252, SAMN08389253, SAMN08389254, SAMN08389255, SAMN08389256, SAMN08389257, SAMN08389258, SAMN08389259, SAMN08389260, SAMN08389261, and SAMN08389262(920) ; This BioSample is a metagenomic assembly obtained from the gut metagenome BioSamples: SAMN20206759,SAMN20206760,SAMN20206761,SAMN20206762,SAMN20206763,SAMN20206764,SAMN20206765,SAMN20206766,SAMN20206767,SAMN20206768,SAMN20206769,SAMN20206770,SAMN20206771,SAMN20206772,SAMN20206773,SAMN20206774,SAMN20206775,SAMN20206776,SAMN20206777,SAMN20206778,SAMN20206779,SAMN20206780,SAMN20206781,SAMN20206782,SAMN20206783,SAMN20206784,SAMN20206785,SAMN20206786,SAMN20206787,SAMN20206788,SAMN20206789,SAMN20206790,SAMN20206791,SAMN20206792,SAMN20206793,SAMN20206794,SAMN20206795,SAMN20206796,SAMN20206797,SAMN20206798,SAMN20206799,SAMN20206800,SAMN20206801,SAMN20206802(591) ; This BioSample is a metagenomic assembly obtained from the mouse gut metagenome BioSamples: SAMN14144348,SAMN14144349,SAMN14144350,SAMN14144351,SAMN14144352,SAMN14144353,SAMN14144354,SAMN14144355,SAMN14144356,SAMN14144357,SAMN14144358,SAMN14144359,SAMN14144360,SAMN14144361,SAMN14144362,SAMN14144363,SAMN14144364,SAMN14144365(590) ; This BioSample is a metagenomic assembly obtained from the mine drainage metagenome BioSamples: SAMN18898484, SAMN18898485, SAMN18898486, SAMN18898487, SAMN18898488, SAMN18898489, SAMN18898490, SAMN18898491, SAMN18898492, and SAMN18898493(566) ; This BioSample is a metagenomic assembly obtained from the Activated sludge metagenome BioSample:SAMN15648910(557) ; Human blood(556) ; This BioSample is a metagenomic assembly obtained from the human oral metagenome BioSample: SAMN09489426(527) ; This BioSample is a metagenomic assembly obtained from the groundwater metagenome BioSample: SAMN15459600(524) ; This BioSample is a metagenomic assembly obtained from the freshwater metagenome BioSample: SAMN17269717(516) ; This BioSample is a metagenomic assembly obtained from the PNA biofilm metagenome BioSample: SAMN14350132, SAMN14350134, SAMN14350135, SAMN14350144, SAMN14350146, SAMN14350147, SAMN14350154, SAMN14350155, SAMN14350160, SAMN14350166, SAMN14350167, SAMN14350168, SAMN14350177, SAMN14350178, SAMN14350179, SAMN14350189, SAMN14350190 and SAMN14350191.(430) ; PN9(418) ; PN8(418) ; This BioSample is a metagenomic assembly obtained from the bioreactor metagenome BioSamples: SAMN13418212, SAMN13418213, SAMN13418214, SAMN13418245, SAMN13418246, SAMN13418247, SAMN13418248, SAMN13418249, SAMN13418250, SAMN13418251, SAMN13418252, SAMN13418253, SAMN13418254, SAMN15778297, SAMN15778298, SAMN15778299, SAMN15778300, SAMN15778301, SAMN15778302, SAMN15778303, SAMN15778304, SAMN15778305, SAMN15778306, SAMN15778307, SAMN15778308, SAMN15778309, SAMN15778310, SAMN15778311, SAMN15778312, SAMN15778313, SAMN15778314, SAMN15778315, and SAMN15778316(403) ; Blood(401)",,合并→ derived from,样本来源/材料,是
local environmental context,2882079,categorical,值=biome/ENVO，官方 local-scale environmental context,Pine needle(304) ; not applicable'(107) ; oceanic epipelagic zone biome(40) ; animal-associated habitat(19) ; sea shore (ENVO:00000485)(9) ; oceanic bathypelagic zone biome(3) ; bioreactor metagenome(3) ; marine hydrothermal vent (ENVO:01000122)(3) ; seawater(2) ; mouse-associated habitat(2) ; water(1) ; oceanic mesopelagic zone biome(1) ; compost(1) ; crop(1) ; environmental system(1),local-scale environmental context,,,合并→ local-scale environmental context,时空/环境,是
metagenomic source,2806766,freetext/high-card,与官方 metagenome source 近同名,human gut metagenome(206290) ; bovine gut metagenome(25507) ; marine metagenome(17429) ; lake water metagenome(11328) ; Gallus gallus(5575) ; Artiodactyla(2615) ; aquatic metagenome(2313) ; 408170(2059) ; freshwater metagenome(1757) ; gut metagenome(1200) ; human oral metagenome(1124) ; insect environmental sample(1091) ; Cervus elaphus(938) ; mouse gut metagenome(933) ; pond metagenome(906),metagenome source,gut metagenome(19526) ; human gut metagenome(13043) ; marine metagenome(10995) ; groundwater metagenome(7326) ; freshwater metagenome(6214) ; human oral metagenome(4466) ; soil metagenome(4286) ; marine sediment metagenome(3517) ; activated sludge metagenome(3496) ; subsurface metagenome(3360) ; anaerobic digester metagenome(3177) ; wastewater metagenome(3034) ; hydrothermal vent metagenome(2720) ; bioreactor metagenome(2077) ; soda lake metagenome(2060),宏基因组标签,合并→ metagenome source,样本来源/材料,是
assembly software,2744402,freetext/high-card,MAG 组装工具，MIMAG 技术簇,"SPAdes;3.10.0(92143) ; metaspades_v3.13.0(39854) ; spades_v3.11.1(34125) ; SPAdes;3.13.1;default parameters with metaSPAdes mode(21536) ; IDBA-UD; v1.1.3; --num_threads 16 --pre_correction --min_contig 300(18613) ; megahit(14438) ; SPAdes;3,9.0; kmer set 21, 33, 55(12715) ; metaspades_v3.10.0(7650) ; metaspades_v3.12.0(7014) ; MEGAHIT; v1.1.1; --kmin-1pass, -m 60e+10, --k-list 27,37,47,57,67,77,87, --min-contig-len 1000, -t 16(6796) ; IDBA-UD(6403) ; Megahit(2884) ; Megahit;1.1.2;with the --meta-sensitive option(2313) ; MegaHIT v1.1.1(2058) ; MegaHit(1166)",window area/size,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
binning software,2733555,freetext/high-card,MAG 分箱工具，MAG技术簇,"MetaBAT v2.12.1(92143) ; MetaWRAP v1.1(89983) ; MetaBAT2(26611) ; MetaBAT;2.12.1(21536) ; metabat(12837) ; Metabat2(10173) ; concoct(2323) ; MaxBin v2.2.4, MetaBAT v2.12.1, CONCOCT v0.4.0, DAS Tool v1.1.0(2058) ; BLAST(1166) ; metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)(933) ; MetaBAT v. 2.12.1, MaxBin v. 2.2.4, Metawatt v. 3.5.3 summarized via DASTool v. 1.1.0 and refined in Anvi’O v. 5.2(380) ; METABAT2(362) ; CONCOCT, refined with dastool and manually with anvi'o 6.2(163) ; MetaWRAP (CONCOCT, MaxBIN2, and MetaBAT2)(133) ; das_tool; concoct, maxbin, metabat(125)",drawings,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
binning parameters,2733447,freetext/high-card,MAG 分箱参数，MAG技术簇,"default(184682) ; tetra-nucleotide frequencies and abundance(25409) ; --minContig 2000(21536) ; min_len:1500,min_bin_size:10000,maxP:93,minS:50(12765) ; -v -m 2000(10159) ; Concoct parameters: -c 400 -l 1000 -t 16 -s 1 using Kallisto version 0.43.0 for coverate estimation.(1961) ; coverage and tetramer(1200) ; &gt;1,000bp alignment length(1166) ; default parameters, kmer: 4(933) ; Concoct parameters: -c 400 -l 1000 -t 16 -s 1 using Kallisto version 0.43.0 for coverage estimation.(352) ; anvi'o 6.2 default parameters, DASTOOL with --search-engine diamond(276) ; differential coverage across 5 samples, 4-mer frequencies(192) ; differential coverage across 9 samples, 4-mer frequencies(160) ; coverage, kmers(123) ; Hi-C links(98)",miscellaneous parameter,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
completeness score,2658848,numeric,MAG 完整度，MAG技术簇,100(3994) ; 0(3683) ; 99.32(1378) ; 98.65(1370) ; 98.66(1229) ; 97.98(1184) ; 96.64(1077) ; 99.33(990) ; 95.97(937) ; 97.99(911) ; 97.31(792) ; 97.32(784) ; 99.37(702) ; 99.19(687) ; 98.63(603),study completion status,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
completeness software,2652741,categorical,MAG 完整度工具(CheckM)，MAG技术簇,CheckM v1.0.7(94201) ; CheckM v1.0.11(88859) ; checkm(35956) ; CheckM;v1.0.13(21536) ; CheckM(17954) ; checkM(12725) ; CheckM v1.1.3(310) ; checkM v1.1.3(276) ; CheckM v.1.0.7(258) ; CheckM v1.0.13(139) ; MiGA(100) ; Anvi'o v6.0(74) ; anvi'o(72) ; CHECKM(55) ; CheckM (v1.0.7)(29),study completion status,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
assembly quality,2628046,freetext/high-card,MIMAG 组装质量，MAG技术簇,"Many fragments with little to no review of assembly other than reporting of standard assembly statistics(265087) ; Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S, and 5S rRNA genes and at least 18 tRNAs(5311) ; Single contiguous sequence without gaps or ambiguities with a consensus error rate equivalent to Q50 or better(1691) ; Medium Quality Draft(72) ; Medium(61) ; Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs.(27) ; High(11) ; Low(2) ; reads mapped to reference GenBank accession, V01108, average coverage is 108,815(1) ; reads mapped to reference GenBank accession, V01108, average coverage is 21,993(1) ; reads mapped to reference GenBank accession, V01108, average coverage is 15,680(1) ; reads mapped to reference GenBank accession, V01108, average coverage is 50,108(1) ; reads mapped to reference GenBank accession, V01108, average coverage is 35,310(1) ; reads mapped to reference GenBank accession, V01108, average coverage is 47,132(1) ; reads mapped to reference GenBank accession, V01108, average coverage is 36,592(1)",food product by quality,,组装/分箱/MAG-删,独立键(仅自身),测序/基因组/分析,否
